danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist_name,artist_genre
0.55,0.985,4,-6.25,0,0.0923,0.000303,0.245,0.343,0.507,160.022,audio_features,0HvN1wvGzhvLCnJzO2pnqA,spotify:track:0HvN1wvGzhvLCnJzO2pnqA,https://api.spotify.com/v1/tracks/0HvN1wvGzhvLCnJzO2pnqA,https://api.spotify.com/v1/audio-analysis/0HvN1wvGzhvLCnJzO2pnqA,253705,4,I'm A Mess,Stoltenhoff,electronic trap
0.57,0.935,1,-7.541,1,0.055,0.0164,0.791,0.11,0.258,141.97,audio_features,1YvZAl9rv455hj64qOZmj5,spotify:track:1YvZAl9rv455hj64qOZmj5,https://api.spotify.com/v1/tracks/1YvZAl9rv455hj64qOZmj5,https://api.spotify.com/v1/audio-analysis/1YvZAl9rv455hj64qOZmj5,242113,4,Computers Take Over The World - Maddix Remix,Armin van Buuren,dutch trance
0.552,0.993,10,-7.96,0,0.0546,0.49,0.805,0.114,0.155,135.009,audio_features,3InKH7463MlnAla5RQ4NT8,spotify:track:3InKH7463MlnAla5RQ4NT8,https://api.spotify.com/v1/tracks/3InKH7463MlnAla5RQ4NT8,https://api.spotify.com/v1/audio-analysis/3InKH7463MlnAla5RQ4NT8,204444,4,Raise Yourself,Richard Durand,dutch trance
0.649,0.947,7,-4.559,1,0.0677,0.0164,0.92,0.328,0.494,132.999,audio_features,2f7BTKnFIKauGtu9UsAZkG,spotify:track:2f7BTKnFIKauGtu9UsAZkG,https://api.spotify.com/v1/tracks/2f7BTKnFIKauGtu9UsAZkG,https://api.spotify.com/v1/audio-analysis/2f7BTKnFIKauGtu9UsAZkG,278797,4,Aktivate - Radio Edit,UMEK,dark techno
0.789,0.984,1,-4.762,1,0.0528,0.00312,0.85,0.125,0.51,132.004,audio_features,6WuhWyOHhhXGSHOtNrJ3Is,spotify:track:6WuhWyOHhhXGSHOtNrJ3Is,https://api.spotify.com/v1/tracks/6WuhWyOHhhXGSHOtNrJ3Is,https://api.spotify.com/v1/audio-analysis/6WuhWyOHhhXGSHOtNrJ3Is,254545,4,Time,Space 92,french techno
0.715,0.887,5,-4.058,1,0.167,0.00317,0.64,0.195,0.18,137.026,audio_features,1iDIuvbeA0DHGP7wgO7j2s,spotify:track:1iDIuvbeA0DHGP7wgO7j2s,https://api.spotify.com/v1/tracks/1iDIuvbeA0DHGP7wgO7j2s,https://api.spotify.com/v1/audio-analysis/1iDIuvbeA0DHGP7wgO7j2s,151533,4,Ready,Calvin Logue,uk dance
0.486,0.614,7,-6.274,1,0.0434,0.00522,0.00325,0.0909,0.484,117.973,audio_features,1lNSP4ZdpVXJajfeIpUrfe,spotify:track:1lNSP4ZdpVXJajfeIpUrfe,https://api.spotify.com/v1/tracks/1lNSP4ZdpVXJajfeIpUrfe,https://api.spotify.com/v1/audio-analysis/1lNSP4ZdpVXJajfeIpUrfe,175411,4,My Lady of Mercy,The Last Dinner Party,Unknown
0.472,0.867,1,-3.159,0,0.0409,0.0063,4.56e-06,0.326,0.792,155.996,audio_features,6twjuBZfRJIZnoHrghzWLk,spotify:track:6twjuBZfRJIZnoHrghzWLk,https://api.spotify.com/v1/tracks/6twjuBZfRJIZnoHrghzWLk,https://api.spotify.com/v1/audio-analysis/6twjuBZfRJIZnoHrghzWLk,177004,4,Blame Brett,The Beaches,canadian indie rock
0.556,0.824,0,-3.798,1,0.0277,2.73e-05,2.24e-06,0.776,0.547,108.466,audio_features,3cn3g1pvplVckm1vWtDMVf,spotify:track:3cn3g1pvplVckm1vWtDMVf,https://api.spotify.com/v1/tracks/3cn3g1pvplVckm1vWtDMVf,https://api.spotify.com/v1/audio-analysis/3cn3g1pvplVckm1vWtDMVf,161445,4,I Used To Be Fun,Teen Jesus and the Jean Teasers,canberra indie
0.564,0.91,4,-6.853,0,0.0953,0.00021,2.32e-05,0.378,0.736,157.942,audio_features,59RjIhWIpthNpwrlChUvXm,spotify:track:59RjIhWIpthNpwrlChUvXm,https://api.spotify.com/v1/tracks/59RjIhWIpthNpwrlChUvXm,https://api.spotify.com/v1/audio-analysis/59RjIhWIpthNpwrlChUvXm,187697,4,The News,Paramore,candy pop
0.482,0.935,7,-3.804,1,0.17,0.000193,3.01e-05,0.141,0.482,146.895,audio_features,5ofXHXnmlZ4zqFWCo6oGOB,spotify:track:5ofXHXnmlZ4zqFWCo6oGOB,https://api.spotify.com/v1/tracks/5ofXHXnmlZ4zqFWCo6oGOB,https://api.spotify.com/v1/audio-analysis/5ofXHXnmlZ4zqFWCo6oGOB,192735,4,S!CK,The Warning,mexican metal
0.812,0.71,11,-5.164,1,0.0421,0.107,0.00424,0.076,0.97,138.041,audio_features,4cwi0Yd3pq1GfvHj7FLMdn,spotify:track:4cwi0Yd3pq1GfvHj7FLMdn,https://api.spotify.com/v1/tracks/4cwi0Yd3pq1GfvHj7FLMdn,https://api.spotify.com/v1/audio-analysis/4cwi0Yd3pq1GfvHj7FLMdn,136602,4,kinda smacks,Royal & the Serpent,alt z
0.706,0.879,9,-4.058,1,0.0396,0.00404,0.0829,0.0526,0.554,99.98,audio_features,4Ne4UbfqgXcBdIsYHjvR6y,spotify:track:4Ne4UbfqgXcBdIsYHjvR6y,https://api.spotify.com/v1/tracks/4Ne4UbfqgXcBdIsYHjvR6y,https://api.spotify.com/v1/audio-analysis/4Ne4UbfqgXcBdIsYHjvR6y,175960,4,Burn The Witch,PVRIS,pixie
0.361,0.964,8,-4.59,0,0.173,0.000479,0.00199,0.137,0.216,151.879,audio_features,4hvCxgioUiT85MCgfIhDP3,spotify:track:4hvCxgioUiT85MCgfIhDP3,https://api.spotify.com/v1/tracks/4hvCxgioUiT85MCgfIhDP3,https://api.spotify.com/v1/audio-analysis/4hvCxgioUiT85MCgfIhDP3,281053,4,Too Close / Too Late,Spiritbox,canadian metalcore
0.532,0.833,9,-3.22,0,0.0421,0.0205,0.0,0.0996,0.51,102.019,audio_features,0q1EgphEnjNphQaiG1wHnw,spotify:track:0q1EgphEnjNphQaiG1wHnw,https://api.spotify.com/v1/tracks/0q1EgphEnjNphQaiG1wHnw,https://api.spotify.com/v1/audio-analysis/0q1EgphEnjNphQaiG1wHnw,207008,4,Welcome to My House,YONAKA,brighton indie
0.63,0.763,2,-4.89,1,0.0892,0.0393,0.0,0.7,0.295,162.152,audio_features,38RLObegC9ggpKPRVQDc1g,spotify:track:38RLObegC9ggpKPRVQDc1g,https://api.spotify.com/v1/tracks/38RLObegC9ggpKPRVQDc1g,https://api.spotify.com/v1/audio-analysis/38RLObegC9ggpKPRVQDc1g,149391,4,AMERICAN HORROR SHOW,SNOW WIFE,Unknown
0.433,0.884,1,-6.492,0,0.0655,0.00778,0.774,0.221,0.228,136.009,audio_features,1seLWPX7HzMY1FZ4lrGXuD,spotify:track:1seLWPX7HzMY1FZ4lrGXuD,https://api.spotify.com/v1/tracks/1seLWPX7HzMY1FZ4lrGXuD,https://api.spotify.com/v1/audio-analysis/1seLWPX7HzMY1FZ4lrGXuD,218284,4,See you soon,Wisp,Unknown
0.569,0.792,1,-4.283,0,0.057,0.062,0.0,0.176,0.702,75.533,audio_features,2VOtwqdoceXN37vDafReh5,spotify:track:2VOtwqdoceXN37vDafReh5,https://api.spotify.com/v1/tracks/2VOtwqdoceXN37vDafReh5,https://api.spotify.com/v1/audio-analysis/2VOtwqdoceXN37vDafReh5,205432,4,Never Need Me,Rachel Chinouriri,uk pop
0.709,0.95,9,-4.448,1,0.102,0.00446,0.0182,0.0292,0.862,142.012,audio_features,536ZTi6wWJQ2gYXkXnJwVX,spotify:track:536ZTi6wWJQ2gYXkXnJwVX,https://api.spotify.com/v1/tracks/536ZTi6wWJQ2gYXkXnJwVX,https://api.spotify.com/v1/audio-analysis/536ZTi6wWJQ2gYXkXnJwVX,187596,4,spite,Charlotte Sands,alt z
0.422,0.726,0,-4.996,1,0.0408,2.86e-05,0.000541,0.554,0.328,120.057,audio_features,5zfSxKmqBSKTaZjVkvPkmA,spotify:track:5zfSxKmqBSKTaZjVkvPkmA,https://api.spotify.com/v1/tracks/5zfSxKmqBSKTaZjVkvPkmA,https://api.spotify.com/v1/audio-analysis/5zfSxKmqBSKTaZjVkvPkmA,156195,4,A Dozen Roses,Amira Elfeky,Unknown
0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39,audio_features,1upVvXlWQUwAPuLN3oh8lk,spotify:track:1upVvXlWQUwAPuLN3oh8lk,https://api.spotify.com/v1/tracks/1upVvXlWQUwAPuLN3oh8lk,https://api.spotify.com/v1/audio-analysis/1upVvXlWQUwAPuLN3oh8lk,158293,4,Talk,beabadoobee,bedroom pop
0.655,0.905,3,-4.749,0,0.075,0.061,0.00963,0.0992,0.632,101.991,audio_features,5iQrF3TEjpz2tBZed7Qy9N,spotify:track:5iQrF3TEjpz2tBZed7Qy9N,https://api.spotify.com/v1/tracks/5iQrF3TEjpz2tBZed7Qy9N,https://api.spotify.com/v1/audio-analysis/5iQrF3TEjpz2tBZed7Qy9N,163737,4,hostage,Maggie Lindemann,alt z
0.56,0.798,7,-5.197,1,0.0357,0.00794,0.793,0.0907,0.271,112.016,audio_features,4wHo9RDSY0elxbeiMpYNLN,spotify:track:4wHo9RDSY0elxbeiMpYNLN,https://api.spotify.com/v1/tracks/4wHo9RDSY0elxbeiMpYNLN,https://api.spotify.com/v1/audio-analysis/4wHo9RDSY0elxbeiMpYNLN,274348,4,Salad,Blondshell,bubblegrunge
0.679,0.846,1,-4.44,0,0.0524,0.0488,1.78e-05,0.154,0.567,140.045,audio_features,1uMo2HFIfKc3NJVl73L1zj,spotify:track:1uMo2HFIfKc3NJVl73L1zj,https://api.spotify.com/v1/tracks/1uMo2HFIfKc3NJVl73L1zj,https://api.spotify.com/v1/audio-analysis/1uMo2HFIfKc3NJVl73L1zj,230160,4,run away girl,Alice Merton,Unknown
0.442,0.83,6,-12.976,1,0.0376,0.00079,2.46e-05,0.0887,0.538,154.029,audio_features,5qMq8ITRVuTwqd2pDL0gff,spotify:track:5qMq8ITRVuTwqd2pDL0gff,https://api.spotify.com/v1/tracks/5qMq8ITRVuTwqd2pDL0gff,https://api.spotify.com/v1/audio-analysis/5qMq8ITRVuTwqd2pDL0gff,162078,4,<maybe> it's my fault,WILLOW,afrofuturism
0.598,0.584,4,-4.224,0,0.0553,0.0101,0.0,0.195,0.619,159.956,audio_features,6XFtHhrlPKL4qEVDVMOcd6,spotify:track:6XFtHhrlPKL4qEVDVMOcd6,https://api.spotify.com/v1/tracks/6XFtHhrlPKL4qEVDVMOcd6,https://api.spotify.com/v1/audio-analysis/6XFtHhrlPKL4qEVDVMOcd6,158840,4,Backtrack,Emei,alt z
0.496,0.946,1,-6.331,1,0.0708,0.00193,0.0232,0.0658,0.327,86.993,audio_features,2hVbai5ZN5yykTbSteAPKy,spotify:track:2hVbai5ZN5yykTbSteAPKy,https://api.spotify.com/v1/tracks/2hVbai5ZN5yykTbSteAPKy,https://api.spotify.com/v1/audio-analysis/2hVbai5ZN5yykTbSteAPKy,207600,4,Sometimes,Mannequin Pussy,bubblegrunge
0.512,0.634,7,-12.504,0,0.0624,7.27e-05,3.12e-06,0.34,0.621,156.055,audio_features,3bfElZNhtvtGvWMVgCBgZK,spotify:track:3bfElZNhtvtGvWMVgCBgZK,https://api.spotify.com/v1/tracks/3bfElZNhtvtGvWMVgCBgZK,https://api.spotify.com/v1/audio-analysis/3bfElZNhtvtGvWMVgCBgZK,206731,4,"""good guy""",Against The Current,neon pop punk
0.801,0.713,9,-4.973,0,0.0346,0.197,0.00276,0.146,0.742,126.014,audio_features,4ZwV2vVR5vUEOKHQwFJe8T,spotify:track:4ZwV2vVR5vUEOKHQwFJe8T,https://api.spotify.com/v1/tracks/4ZwV2vVR5vUEOKHQwFJe8T,https://api.spotify.com/v1/audio-analysis/4ZwV2vVR5vUEOKHQwFJe8T,177081,4,Mood Ring,Dehd,bubblegrunge
0.563,0.701,3,-6.378,0,0.0285,0.00736,0.721,0.103,0.511,117.048,audio_features,1kiw6IXeTauPy3L964yxoZ,spotify:track:1kiw6IXeTauPy3L964yxoZ,https://api.spotify.com/v1/tracks/1kiw6IXeTauPy3L964yxoZ,https://api.spotify.com/v1/audio-analysis/1kiw6IXeTauPy3L964yxoZ,199220,4,Angel,NewDad,crank wave
0.256,0.883,0,-5.93,0,0.0575,0.0154,1.74e-05,0.188,0.0919,97.04,audio_features,6dle7FaD5ZRhbHHk6zZsWX,spotify:track:6dle7FaD5ZRhbHHk6zZsWX,https://api.spotify.com/v1/tracks/6dle7FaD5ZRhbHHk6zZsWX,https://api.spotify.com/v1/audio-analysis/6dle7FaD5ZRhbHHk6zZsWX,263432,3,House Of Self-Undoing,Chelsea Wolfe,dark pop
0.746,0.794,11,-3.621,0,0.0544,0.00674,0.000341,0.0197,0.577,114.012,audio_features,340KzsVkQVS4W3u8VizsBr,spotify:track:340KzsVkQVS4W3u8VizsBr,https://api.spotify.com/v1/tracks/340KzsVkQVS4W3u8VizsBr,https://api.spotify.com/v1/audio-analysis/340KzsVkQVS4W3u8VizsBr,255254,4,Real Power,Gossip,alternative dance
0.513,0.916,4,-3.191,0,0.0987,0.00219,0.00113,0.338,0.474,96.095,audio_features,6KZS7UyCY1akaJGAp64Akl,spotify:track:6KZS7UyCY1akaJGAp64Akl,https://api.spotify.com/v1/tracks/6KZS7UyCY1akaJGAp64Akl,https://api.spotify.com/v1/audio-analysis/6KZS7UyCY1akaJGAp64Akl,158081,4,CASUALTY,MOTHICA,alt z
0.35,0.815,7,-5.166,0,0.035,0.00144,0.78,0.334,0.45,169.849,audio_features,10fl9iLpPKi4WVJh59hZ8c,spotify:track:10fl9iLpPKi4WVJh59hZ8c,https://api.spotify.com/v1/tracks/10fl9iLpPKi4WVJh59hZ8c,https://api.spotify.com/v1/audio-analysis/10fl9iLpPKi4WVJh59hZ8c,220650,4,Shortest Fuse,Softcult,Unknown
0.652,0.691,1,-4.386,1,0.0299,0.422,0.0,0.214,0.36,99.93,audio_features,4gBuBzYl2X0j38iKbo02Rl,spotify:track:4gBuBzYl2X0j38iKbo02Rl,https://api.spotify.com/v1/tracks/4gBuBzYl2X0j38iKbo02Rl,https://api.spotify.com/v1/audio-analysis/4gBuBzYl2X0j38iKbo02Rl,169066,4,poser,LØLØ,alt z
0.446,0.878,1,-5.826,1,0.0523,0.00371,0.00114,0.231,0.682,181.968,audio_features,5Dp8m5EWFkNc3TbCSxKSzu,spotify:track:5Dp8m5EWFkNc3TbCSxKSzu,https://api.spotify.com/v1/tracks/5Dp8m5EWFkNc3TbCSxKSzu,https://api.spotify.com/v1/audio-analysis/5Dp8m5EWFkNc3TbCSxKSzu,221000,4,Entropy,Beach Bunny,bubblegrunge
0.587,0.798,2,-5.109,1,0.037,0.0329,0.000134,0.184,0.6,101.161,audio_features,3p84R45PM75ngq8XRoe45o,spotify:track:3p84R45PM75ngq8XRoe45o,https://api.spotify.com/v1/tracks/3p84R45PM75ngq8XRoe45o,https://api.spotify.com/v1/audio-analysis/3p84R45PM75ngq8XRoe45o,181750,4,Nothing Matters,The Last Dinner Party,Unknown
0.51,0.824,11,-6.322,1,0.0701,0.0303,0.0094,0.0813,0.786,159.946,audio_features,59gcuFEGvp32erxYFekyG4,spotify:track:59gcuFEGvp32erxYFekyG4,https://api.spotify.com/v1/tracks/59gcuFEGvp32erxYFekyG4,https://api.spotify.com/v1/audio-analysis/59gcuFEGvp32erxYFekyG4,163026,4,Hooves,Sir Chloe,indie pop
0.314,0.83,2,-3.83,1,0.0435,0.000731,0.0,0.374,0.194,73.191,audio_features,1nx0EzitUaNF08xrQunABp,spotify:track:1nx0EzitUaNF08xrQunABp,https://api.spotify.com/v1/tracks/1nx0EzitUaNF08xrQunABp,https://api.spotify.com/v1/audio-analysis/1nx0EzitUaNF08xrQunABp,217327,4,Rest In Peace,Dorothy,modern alternative rock
0.566,0.843,4,-5.82,0,0.0795,0.0222,0.000313,0.431,0.446,89.991,audio_features,7oj0HfhX4PY8zmUR4kBxfe,spotify:track:7oj0HfhX4PY8zmUR4kBxfe,https://api.spotify.com/v1/tracks/7oj0HfhX4PY8zmUR4kBxfe,https://api.spotify.com/v1/audio-analysis/7oj0HfhX4PY8zmUR4kBxfe,253745,4,rot in love,ratbag,Unknown
0.666,0.91,8,-3.853,1,0.0395,0.00243,0.0261,0.321,0.927,127.956,audio_features,2ma25BxbSTq90j64a0SP60,spotify:track:2ma25BxbSTq90j64a0SP60,https://api.spotify.com/v1/tracks/2ma25BxbSTq90j64a0SP60,https://api.spotify.com/v1/audio-analysis/2ma25BxbSTq90j64a0SP60,146250,4,She’s So Cool (with Pale Waves),Bruses,indie triste
0.4,0.984,1,-1.968,0,0.0652,5.1e-05,0.0947,0.402,0.436,75.928,audio_features,1hf9bnNxtokh6t6pT8pnva,spotify:track:1hf9bnNxtokh6t6pT8pnva,https://api.spotify.com/v1/tracks/1hf9bnNxtokh6t6pT8pnva,https://api.spotify.com/v1/audio-analysis/1hf9bnNxtokh6t6pT8pnva,127384,4,Opening Night,Scowl,california hardcore
0.538,0.673,0,-4.138,1,0.0319,0.0132,1.78e-05,0.116,0.389,82.425,audio_features,6gnNNTPxIPjgvGlWw98Bwc,spotify:track:6gnNNTPxIPjgvGlWw98Bwc,https://api.spotify.com/v1/tracks/6gnNNTPxIPjgvGlWw98Bwc,https://api.spotify.com/v1/audio-analysis/6gnNNTPxIPjgvGlWw98Bwc,146080,4,Why Am I Like This?,Cassyette,Unknown
0.578,0.948,11,-5.494,0,0.0851,0.0052,2.72e-05,0.361,0.701,165.911,audio_features,6LjmIxsNRNrAb8uvJktOeL,spotify:track:6LjmIxsNRNrAb8uvJktOeL,https://api.spotify.com/v1/tracks/6LjmIxsNRNrAb8uvJktOeL,https://api.spotify.com/v1/audio-analysis/6LjmIxsNRNrAb8uvJktOeL,149106,4,Spiral City,CARR,Unknown
0.333,0.674,7,-6.526,0,0.0558,0.129,0.000533,0.127,0.175,125.743,audio_features,11wMfHsceksu8GAIugQMA9,spotify:track:11wMfHsceksu8GAIugQMA9,https://api.spotify.com/v1/tracks/11wMfHsceksu8GAIugQMA9,https://api.spotify.com/v1/audio-analysis/11wMfHsceksu8GAIugQMA9,246909,4,ghost,mary in the junkyard,crank wave
0.515,0.764,11,-5.238,1,0.0444,0.000152,0.878,0.064,0.342,93.579,audio_features,0wQKKPy050lguUxlKvHIi5,spotify:track:0wQKKPy050lguUxlKvHIi5,https://api.spotify.com/v1/tracks/0wQKKPy050lguUxlKvHIi5,https://api.spotify.com/v1/audio-analysis/0wQKKPy050lguUxlKvHIi5,196800,4,Smile,Wolf Alice,indie rock
0.539,0.977,6,-2.556,0,0.218,0.000431,0.0,0.356,0.48,122.046,audio_features,0rlcL9H8ZJUEDQ3N0tmTZf,spotify:track:0rlcL9H8ZJUEDQ3N0tmTZf,https://api.spotify.com/v1/tracks/0rlcL9H8ZJUEDQ3N0tmTZf,https://api.spotify.com/v1/audio-analysis/0rlcL9H8ZJUEDQ3N0tmTZf,212459,4,ONE NATION UNDERDOGS,Royal & the Serpent,alt z
0.5,0.494,9,-7.717,1,0.0301,0.0385,0.000815,0.129,0.274,83.088,audio_features,30eZI7pnpdWKgk1UmUAxoF,spotify:track:30eZI7pnpdWKgk1UmUAxoF,https://api.spotify.com/v1/tracks/30eZI7pnpdWKgk1UmUAxoF,https://api.spotify.com/v1/audio-analysis/30eZI7pnpdWKgk1UmUAxoF,164819,4,MONKI,King Isis,Unknown
0.625,0.689,7,-3.892,1,0.0593,0.0452,0.0,0.882,0.372,124.232,audio_features,6tgaf9F3ZHgIlXpdymEfUe,spotify:track:6tgaf9F3ZHgIlXpdymEfUe,https://api.spotify.com/v1/tracks/6tgaf9F3ZHgIlXpdymEfUe,https://api.spotify.com/v1/audio-analysis/6tgaf9F3ZHgIlXpdymEfUe,151089,4,sound in my head,Chloe Lilac,alt z
0.674,0.694,1,-8.124,1,0.0792,0.048,0.0364,0.579,0.158,104.832,audio_features,0R13zftuNe1WECTSBeT6ri,spotify:track:0R13zftuNe1WECTSBeT6ri,https://api.spotify.com/v1/tracks/0R13zftuNe1WECTSBeT6ri,https://api.spotify.com/v1/audio-analysis/0R13zftuNe1WECTSBeT6ri,114351,4,Church Outfit,Poppy,alt z
0.582,0.563,4,-6.428,1,0.0237,0.0449,0.000174,0.262,0.713,95.044,audio_features,5hfu9r4JcERCBwimhrPIUN,spotify:track:5hfu9r4JcERCBwimhrPIUN,https://api.spotify.com/v1/tracks/5hfu9r4JcERCBwimhrPIUN,https://api.spotify.com/v1/audio-analysis/5hfu9r4JcERCBwimhrPIUN,195800,4,Feel It All The Time,Soccer Mommy,art pop
0.425,0.914,11,-3.962,1,0.079,0.000882,0.0,0.139,0.643,152.147,audio_features,3Gmzz9nQJHhtDSqLZhBgrt,spotify:track:3Gmzz9nQJHhtDSqLZhBgrt,https://api.spotify.com/v1/tracks/3Gmzz9nQJHhtDSqLZhBgrt,https://api.spotify.com/v1/audio-analysis/3Gmzz9nQJHhtDSqLZhBgrt,165318,4,T.M.I,Meet Me @ The Altar,black punk
0.605,0.819,7,-5.932,0,0.0291,0.0184,0.158,0.101,0.76,120.009,audio_features,1FE3y5rW4l9I7prqRLnLi4,spotify:track:1FE3y5rW4l9I7prqRLnLi4,https://api.spotify.com/v1/tracks/1FE3y5rW4l9I7prqRLnLi4,https://api.spotify.com/v1/audio-analysis/1FE3y5rW4l9I7prqRLnLi4,172868,4,Bang Bang,Momma,bubblegrunge
0.335,0.881,5,-4.642,0,0.0653,0.000718,4.13e-05,0.188,0.517,196.254,audio_features,0L0wwswP2xOiWv25Out7nn,spotify:track:0L0wwswP2xOiWv25Out7nn,https://api.spotify.com/v1/tracks/0L0wwswP2xOiWv25Out7nn,https://api.spotify.com/v1/audio-analysis/0L0wwswP2xOiWv25Out7nn,201320,4,IDC AT ALL,Lauren Sanderson,alt z
0.585,0.916,11,-4.561,1,0.0409,0.000636,1.36e-06,0.29,0.542,112.038,audio_features,7k0OJud8YsBKbncUPa46TY,spotify:track:7k0OJud8YsBKbncUPa46TY,https://api.spotify.com/v1/tracks/7k0OJud8YsBKbncUPa46TY,https://api.spotify.com/v1/audio-analysis/7k0OJud8YsBKbncUPa46TY,214024,4,Liquor and Kerosene (feat. The Maine),Daisy Grenade,Unknown
0.726,0.733,9,-2.972,1,0.0495,0.0974,0.0,0.176,0.576,94.985,audio_features,0JHjsGwxzK7xzpceRcoMbB,spotify:track:0JHjsGwxzK7xzpceRcoMbB,https://api.spotify.com/v1/tracks/0JHjsGwxzK7xzpceRcoMbB,https://api.spotify.com/v1/audio-analysis/0JHjsGwxzK7xzpceRcoMbB,170520,4,Honda Civic,Lauran Hibberd,english indie rock
0.376,0.868,2,-5.165,1,0.0858,3.28e-05,0.0,0.0741,0.677,170.242,audio_features,6YcrBSmLlD2vRUjAQkcUtL,spotify:track:6YcrBSmLlD2vRUjAQkcUtL,https://api.spotify.com/v1/tracks/6YcrBSmLlD2vRUjAQkcUtL,https://api.spotify.com/v1/audio-analysis/6YcrBSmLlD2vRUjAQkcUtL,163625,4,I Think You Should Leave,Winona Fighter,Unknown
