danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.805,0.738,11,-2.324,1,0.15,0.00633,0.0,0.143,0.559,142.657,audio_features,6s3x9zSwfzgi1IY9iDXjYh,spotify:track:6s3x9zSwfzgi1IY9iDXjYh,https://api.spotify.com/v1/tracks/6s3x9zSwfzgi1IY9iDXjYh,https://api.spotify.com/v1/audio-analysis/6s3x9zSwfzgi1IY9iDXjYh,197147,4
0.269,0.764,7,-3.735,1,0.0534,0.132,0.0,0.0723,0.15,181.299,audio_features,49EXOlUTFBGdI098L6SXDh,spotify:track:49EXOlUTFBGdI098L6SXDh,https://api.spotify.com/v1/tracks/49EXOlUTFBGdI098L6SXDh,https://api.spotify.com/v1/audio-analysis/49EXOlUTFBGdI098L6SXDh,252760,4
0.445,0.607,4,-10.049,0,0.139,0.113,3.2e-05,0.461,0.303,135.395,audio_features,4Q97Oa0N8bZtHmODSOF6gM,spotify:track:4Q97Oa0N8bZtHmODSOF6gM,https://api.spotify.com/v1/tracks/4Q97Oa0N8bZtHmODSOF6gM,https://api.spotify.com/v1/audio-analysis/4Q97Oa0N8bZtHmODSOF6gM,199000,4
0.766,0.55,1,-7.898,1,0.0758,0.0142,0.0452,0.123,0.356,106.99,audio_features,5vGZX134ZZktjCEYoDm462,spotify:track:5vGZX134ZZktjCEYoDm462,https://api.spotify.com/v1/tracks/5vGZX134ZZktjCEYoDm462,https://api.spotify.com/v1/audio-analysis/5vGZX134ZZktjCEYoDm462,302520,4
0.7,0.812,1,-8.128,0,0.297,0.183,0.0,0.0756,0.801,97.405,audio_features,5qbhVL3vB7HwWvb0042B7y,spotify:track:5qbhVL3vB7HwWvb0042B7y,https://api.spotify.com/v1/tracks/5qbhVL3vB7HwWvb0042B7y,https://api.spotify.com/v1/audio-analysis/5qbhVL3vB7HwWvb0042B7y,332229,4
0.882,0.858,6,-4.132,0,0.111,0.163,5.33e-05,0.0599,0.311,109.952,audio_features,1WGIqE7rCmrsERtlIpCGyM,spotify:track:1WGIqE7rCmrsERtlIpCGyM,https://api.spotify.com/v1/tracks/1WGIqE7rCmrsERtlIpCGyM,https://api.spotify.com/v1/audio-analysis/1WGIqE7rCmrsERtlIpCGyM,168452,4
0.635,0.849,5,-5.33,1,0.0346,0.000821,0.618,0.193,0.708,119.994,audio_features,5gG1tBzjqPWXTevct5kaLX,spotify:track:5gG1tBzjqPWXTevct5kaLX,https://api.spotify.com/v1/tracks/5gG1tBzjqPWXTevct5kaLX,https://api.spotify.com/v1/audio-analysis/5gG1tBzjqPWXTevct5kaLX,250053,4
0.695,0.555,5,-8.5,0,0.0509,0.141,0.826,0.11,0.26,150.024,audio_features,74loibzxXRL875X20kenvk,spotify:track:74loibzxXRL875X20kenvk,https://api.spotify.com/v1/tracks/74loibzxXRL875X20kenvk,https://api.spotify.com/v1/audio-analysis/74loibzxXRL875X20kenvk,83200,4
0.606,0.603,0,-5.788,1,0.0319,0.403,0.0,0.116,0.461,164.973,audio_features,62PeKIJQiist979Q2GBrFc,spotify:track:62PeKIJQiist979Q2GBrFc,https://api.spotify.com/v1/tracks/62PeKIJQiist979Q2GBrFc,https://api.spotify.com/v1/audio-analysis/62PeKIJQiist979Q2GBrFc,235750,3
0.677,0.209,5,-14.122,1,0.0478,0.949,8.79e-06,0.146,0.432,114.011,audio_features,15kPxt5PPzlo6RtPC82eEV,spotify:track:15kPxt5PPzlo6RtPC82eEV,https://api.spotify.com/v1/tracks/15kPxt5PPzlo6RtPC82eEV,https://api.spotify.com/v1/audio-analysis/15kPxt5PPzlo6RtPC82eEV,202933,3
