danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.625,0.689,7,-3.892,1,0.0593,0.0452,0.0,0.882,0.372,124.232,audio_features,6tgaf9F3ZHgIlXpdymEfUe,spotify:track:6tgaf9F3ZHgIlXpdymEfUe,https://api.spotify.com/v1/tracks/6tgaf9F3ZHgIlXpdymEfUe,https://api.spotify.com/v1/audio-analysis/6tgaf9F3ZHgIlXpdymEfUe,151089,4
0.674,0.694,1,-8.124,1,0.0792,0.048,0.0364,0.579,0.158,104.832,audio_features,0R13zftuNe1WECTSBeT6ri,spotify:track:0R13zftuNe1WECTSBeT6ri,https://api.spotify.com/v1/tracks/0R13zftuNe1WECTSBeT6ri,https://api.spotify.com/v1/audio-analysis/0R13zftuNe1WECTSBeT6ri,114351,4
0.582,0.563,4,-6.428,1,0.0237,0.0449,0.000174,0.262,0.713,95.044,audio_features,5hfu9r4JcERCBwimhrPIUN,spotify:track:5hfu9r4JcERCBwimhrPIUN,https://api.spotify.com/v1/tracks/5hfu9r4JcERCBwimhrPIUN,https://api.spotify.com/v1/audio-analysis/5hfu9r4JcERCBwimhrPIUN,195800,4
0.425,0.914,11,-3.962,1,0.079,0.000882,0.0,0.139,0.643,152.147,audio_features,3Gmzz9nQJHhtDSqLZhBgrt,spotify:track:3Gmzz9nQJHhtDSqLZhBgrt,https://api.spotify.com/v1/tracks/3Gmzz9nQJHhtDSqLZhBgrt,https://api.spotify.com/v1/audio-analysis/3Gmzz9nQJHhtDSqLZhBgrt,165318,4
0.605,0.819,7,-5.932,0,0.0291,0.0184,0.158,0.101,0.76,120.009,audio_features,1FE3y5rW4l9I7prqRLnLi4,spotify:track:1FE3y5rW4l9I7prqRLnLi4,https://api.spotify.com/v1/tracks/1FE3y5rW4l9I7prqRLnLi4,https://api.spotify.com/v1/audio-analysis/1FE3y5rW4l9I7prqRLnLi4,172868,4
0.335,0.881,5,-4.642,0,0.0653,0.000718,4.13e-05,0.188,0.517,196.254,audio_features,0L0wwswP2xOiWv25Out7nn,spotify:track:0L0wwswP2xOiWv25Out7nn,https://api.spotify.com/v1/tracks/0L0wwswP2xOiWv25Out7nn,https://api.spotify.com/v1/audio-analysis/0L0wwswP2xOiWv25Out7nn,201320,4
0.585,0.916,11,-4.561,1,0.0409,0.000636,1.36e-06,0.29,0.542,112.038,audio_features,7k0OJud8YsBKbncUPa46TY,spotify:track:7k0OJud8YsBKbncUPa46TY,https://api.spotify.com/v1/tracks/7k0OJud8YsBKbncUPa46TY,https://api.spotify.com/v1/audio-analysis/7k0OJud8YsBKbncUPa46TY,214024,4
0.726,0.733,9,-2.972,1,0.0495,0.0974,0.0,0.176,0.576,94.985,audio_features,0JHjsGwxzK7xzpceRcoMbB,spotify:track:0JHjsGwxzK7xzpceRcoMbB,https://api.spotify.com/v1/tracks/0JHjsGwxzK7xzpceRcoMbB,https://api.spotify.com/v1/audio-analysis/0JHjsGwxzK7xzpceRcoMbB,170520,4
0.376,0.868,2,-5.165,1,0.0858,3.28e-05,0.0,0.0741,0.677,170.242,audio_features,6YcrBSmLlD2vRUjAQkcUtL,spotify:track:6YcrBSmLlD2vRUjAQkcUtL,https://api.spotify.com/v1/tracks/6YcrBSmLlD2vRUjAQkcUtL,https://api.spotify.com/v1/audio-analysis/6YcrBSmLlD2vRUjAQkcUtL,163625,4
0.611,0.502,2,-7.79,1,0.0302,0.105,0.0,0.182,0.46,139.873,audio_features,265WBgFx8YH6lGFN4CS6fh,spotify:track:265WBgFx8YH6lGFN4CS6fh,https://api.spotify.com/v1/tracks/265WBgFx8YH6lGFN4CS6fh,https://api.spotify.com/v1/audio-analysis/265WBgFx8YH6lGFN4CS6fh,138680,4
